source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
smh,http://www.smh.com.au/news/world/flooding-wreaks-havoc/2008/05/31/1211654373303.html,560,05/30/2008 12:00:00 AM,,Valle d'Agosta province and Piedmont province,"mudslides in many towns, people displaced and roads blocked by flooding and debris",Valle d'Agosta province and Piedmont province,50km,mudslide,downpour,medium,unknown,4,,,,,glc,560,Italy,IT,Aosta Valley,2982,Saint-Christophe,2.26162,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,7.376,45.7513
www.ubalert.com,https://www.ubalert.com/TbDb,5729,12/26/2013 12:00:00 AM,,Genoa,Bad weather causes more damage. A large landslide fell on two condos in Genoa Pontedecimo. Nineteen families for a total of 50 people have been displaced and have found accommodations made in the facilities provided by the municipalities of Genoa Serra Ricco,Genoa,10km,landslide,downpour,medium,unknown,0,,,,,glc,5729,Italy,IT,Liguria,3762,Ceranesi,1.21263,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,8.9042,44.4979
adnkronos,http://www.adnkronos.com/IGN/Aki/English/Security/Italy-Landslide-derails-train-in-central-Umbria-region-injuring-25_3266902957.html,4801,04/08/2013 12:00:00 AM,,"At the exit of a tunnel near the bus stop Pontetevere, Perugia, Umbria","A landslide caused two compartments of a passenger train to veer off the tracks Monday in Italy's central Umbria region, injuring a total of 25 people.The train, which was travelling towards the city of Perugia derailed when it hit mud and debris on the tracks as it came out of a tunnel, officials said.The train, which was travelling towards the city of Perugia derailed when it hit mud and debris on the tracks as it came out of a tunnel, officials said.The accident happened after heavy rainfall caused part of a wall to","At the exit of a tunnel near the bus stop Pontetevere, Perugia, Umbria",50km,landslide,rain,medium,retaining_wall,,5,,http://www1.adnkronos.com/IGN/Assets/Imgs/Geografia/Italia/perugia_treno_fi--400x300.jpg,,glc,4801,Italy,IT,Umbria,4410,Spello,4.07336,01/11/2016 04:30:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,12.3009,43.3135
news.xinhuanet,http://news.xinhuanet.com/english/2009-11/11/content_12427735.htm,1292,11/10/2009 12:00:00 AM,,"Casamicciola, Ischia island","A landslide hitting Italy's port town in southern island of Ischia on Tuesday has left at least one dead and 20 injured, according to the town's mayor Vincenzo D'Ambrosio.       The mayor said the landslide was ""like the end of the world"" when houses, cars and people were dragged out to the sea by the water and a river of dirt and rocks flooded the entire area. ","Casamicciola, Ischia island",5km,landslide,rain,medium,unknown,1,,,,,glc,1292,Italy,IT,Campania,8011,Casamicciola Terme,0.1469,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,13.913,40.7477
greenfudge,http://www.greenfudge.org/2011/11/23/tragedy-in-sicily-avalanche-of-water-and-mud-swept-away-homes/,4054,11/22/2011 12:00:00 AM,,"Scarcelli ,Messina, Sicily","the bodies of three people, including a 10-year-old boy, were recovered in Sicily after heavy rains lashed the island and other parts of southern Italy, news reports said on Wednesday.he mudslide hit the small town of Scarcelli near Messina in northeastern Sicily late Tuesday. Rescuers recovered the last two bodies - a man in his fifties and his son, aged around 25 - on Wednesday morning.Flooding was also reported in the Sicilian towns of Barcellona and Milazzo and in the region of Calabria, the toe of Italy's 'boot' where roads and railway lines were damaged]","Scarcelli ,Messina, Sicily",1km,mudslide,downpour,medium,unknown,3,,,,,glc,4054,Italy,IT,Sicily,1473,Saponara,1.67545,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,15.4306,38.2072
dailymail,http://www.dailymail.co.uk/news/article-1325638/Large-crater-opens-beneath-German-village-swallowing-car.html,2671,10/31/2010 11:00:00 PM,,"Above Lavaccio, Massa(Massa-Carrara), Tuscany","Meanwhile in Italy, another landslide took a more tragic turn.  A mother and her two year old son were found embraced in death after being caught up in a mudslide that engulfed their home following heavy rain, Italian firefighters revealed today.  Nera Ricci, 39, and little Mattia Guadagnucci, two, were discovered buried under a metre of mud after an all night search by rescuers at their hillside home.  The tragedy took place near Massa in Tuscany after (220mm) nine inches of heavy rain in 12 hours brought the side of a hill crashing down and today/yesterday rescuers were still searching for another man, missing believed killed.","Above Lavaccio, Massa(Massa-Carrara), Tuscany",1km,mudslide,downpour,medium,unknown,3,,,,,glc,2671,Italy,IT,Tuscany,10023,Montignoso,3.66413,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,10.1432,44.0493
newsweek,http://www.newsweek.com/id/176177,936,12/17/2008 12:00:00 AM,,Reggio di Calabria,"Date uncertain: mudslide in Reggio di Calabria blocked a major train line into that region just as a train with 200 passengers was approaching; More than 50 days of nearly nonstop precipitation throughout Italy has caused extensive flooding, 10 deaths and millions of Euros worth of damage. ",Reggio di Calabria,25km,mudslide,downpour,medium,unknown,,,,,,glc,936,Italy,IT,Calabria,169140,Reggio Calabria,0.92081,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,15.6508,38.1102
vancouversun,http://www.vancouversun.com/news/Thousands+evacuated+Italy+after+landslides/2577016/story.html,1508,02/15/2010 12:00:00 AM,,"San Fratello, near Messina in Sicily","On Monday, about half of the inhabitants of another village in Sicily, San Fratello, were evacuated after landslides affected dozens of homes. Local media and experts have blamed the uncontrolled construction of buildings — often with poor safety standards — for building collapses and landslides. In Sicily a landslide in the town of San Fratello, near Messina, has caused 1,500 people to be evacuated. The mudflow was nearly halted on Monday when the rain briefly stopped but fresh downpours on Tuesday allowed it to move again. An expert warns that if the hillside slides again, the whole western half of the town could be destroyed. The town's Renaissance church has already been damaged and residents have carried its fifteenth century crucifix to safety. ","San Fratello, near Messina in Sicily",5km,mudslide,downpour,medium,unknown,0,,,,,glc,1508,Italy,IT,Sicily,3942,San Fratello,0.12735,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,14.599,38.018
lifeinitaly,http://www.lifeinitaly.com/news/three-killed-mudslides-rain-wreaks-havoc,2677,11/01/2010 12:00:00 AM,,Train tracks in Imperia,"Rome, November 1 - Three people have been killed in mudslides as heavy rain wreaked havoc in northern and central Italy for a third day on Monday.  …  Five people suffered minor injuries when a mudslide caused a train to derail near Imperia ",Train tracks in Imperia,25km,mudslide,downpour,medium,unknown,0,,,,,glc,2677,Italy,IT,Liguria,12762,Taggia,1.72756,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,7.829,43.862
WHDH,http://www.whdh.com/story/28022410/landslide-smashes-into-wall-at-italys-historic-pompeii-site,6741,02/04/2015 12:00:00 AM,,the house of Severus,"Heavy rains have provoked landslide at the ancient Italian site of Pompeii, partially collapsing a retaining wall and sending rubble into a garden at the house of Severus.",the house of Severus,5km,rock_fall,downpour,small,retaining_wall,0,0,,http://www.gannett-cdn.com/-mm-/2a086a7eb0ac9a2adce9c59a75ba30810c0c0101/c=390-0-2671-1711&r=x404&c=534x401/local/-/media/DetroitNews/2015/02/04/B99240825Z.1_20150204112034_000_GH8EGNE0.2-0.jpg,,glc,6741,Italy,IT,Campania,23902,Pompei,1.39925,02/05/2015 03:26:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,14.482,40.7511
